PADLOC_systems	DefenseFinder_systems	DefenseFinder_subtypes	Novel_types	Novel_subtypes	Defense_outcome
Aditi	Aditi	Aditi	Aditi	Aditi	Unknown
Azaca	Azaca	Azaca	Azaca	Azaca	Unknown
Borvo	Borvo	Borvo	Borvo	Borvo	Abi
/	Abi2	Abi2	Abi2DF	Abi2DF	Abi
AbiD	AbiD	AbiD	Abi2DF	Abi2DF	Abi
DRT_class_I	AbiA	AbiA_small	DRT	DRT_Class1_AbiAKP2	Possible_abi
DRT_class_I	AbiA	AbiA_large	DRT	DRT_Class1_AbiAKP3	Possible_abi
DRT_class_I	AbiK	AbiK	DRT	DRT_Class1_AbiAKP4	Possible_abi
DRT_class_II	/	/	DRT	DRT_Class2	Unknown 
/	DRT	DRT_2	DRT	DRT_Type2	Unknown 
/	DRT	DRT6	DRT	DRT_Type6	Unknown 
DRT_other	/	/	DRT	DRT_other	Unknown 
DRT_type_III	/	/	DRT	DRT_Type3	Unknown 
/	DRT	DRT7	DRT	DRT_Type7	Unknown 
/	DRT	DRT8	DRT	DRT_Type8	Unknown 
/	DRT	DRT9	DRT	DRT_Type9	Unknown 
AbiI	AbiI	AbiI	AbiI	AbiI	Abi
/	AbiN	AbiN	AbiN	AbiN	Unknown
/	AbiR	AbiR	AbiR	AbiR	Abi
/	AbiZ	AbiZ	AbiZ	AbiZ	Abi
retron_I-B	Retron	Retron_I_B	Retron	Retron_I_B	Abi
retron_I-C	Retron	Retron_I_C	Retron	Retron_I_C	Abi
retron_II-A	Retron	Retron_II	Retron	Retron_II	Abi
retron_III-A	Retron	Retron_III	Retron	Retron_III	Abi
/	Retron	Retron_VII_2	Retron	Retron_VII_2	Abi
retron_XI	Retron	Retron_XI	Retron	Retron_XI	Abi
retron_I-A	Retron	Retron_I_A	Retron	Retron_I_A	Abi
retron_XII	Retron	Retron_XII	Retron	Retron_XII	Abi
/	AbiC	AbiC	AbiC	AbiC	Abi
AbiJ	AbiJ	AbiJ	AbiJ	AbiJ	Abi
AbiG	AbiG	AbiG	AbiG	AbiG	Abi
/	AbiH	AbiH	AbiH	AbiH	Unknown
AbiL	AbiL	AbiL	AbiL	AbiL	Abi
AbiU	AbiU	AbiU	AbiU	AbiU	Abi
/	AbiV	AbiV	AbiV	AbiV	Abi
AbiO-Nhi_family	Nhi	Nhi	Nhi	Nhi	Non-abi
AbiO-Nhi_family	AbiO	AbiO	AbiO	AbiO	Possible_abi 
AbiE	/	/	AbiE	AbiE	Abi
AbiQ	AbiQ	AbiQ	AbiQ	AbiQ	Abi
AVAST_type_I	Avs	Avs_I	AVAST	AVAST_I	Abi
AVAST_type_I_other	Avs	Avs_I	AVAST	AVAST_I_other	Abi
AVAST_type_II	Avs	Avs_II	AVAST	AVAST_II	Abi
AVAST_type_III	Avs	Avs_III	AVAST	AVAST_III	Abi
AVAST_type_IV	Avs	Avs_IV	AVAST	AVAST_IV	Abi
/	NLR	NLR_like_bNACHT01	NRL_bNACHT	NRL_bNACHT	Possible_abi 
darTG	DarTG	DarTG	DarTG	DarTG	Abi
/	MazEF	MazEF	MazEF	MazEF	Abi
cbass_type_I	CBASS	CBASS_I	CBASS	CBASS_I	Abi
cbass_type_II	CBASS	CBASS_II	CBASS	CBASS_II	Abi
cbass_type_IIs	CBASS	CBASS_II	CBASS	CBASS_IIs	Abi
cbass_type_III	CBASS	CBASS_III	CBASS	CBASS_III	Abi
cbass_type_IV	CBASS	CBASS_IV	CBASS	CBASS_IV	Abi
cbass_other	/	/	CBASS	CBASS_other	Abi
pycsar_effector	Pycsar	Pycsar	Pycsar	Pycsar	Abi
pycsar_other	Pycsar	Pycsar	Pycsar	Pycsar_other	Abi
pycsar_unknown	Pycsar	Pycsar	Pycsar	Pycsar	Abi
thoeris_type_I	Thoeris	Thoeris_I	Thoeris	Thoeris_I	Abi
/	Thoeris	Thoeris_II	Thoeris	Thoeris_II	Abi
thoeris_other	/	/	Thoeris	Theoris_other	Abi
/	Detocs	Detocs	Detocs	Detocs	Abi
/	Hna	Hna	Hna	Hna	Abi
Lamassu_Family	Lamassu-Fam	Lamassu-Fam	Lamassu	Lamassu	Abi
Lamassu_Family	Lamassu-Fam	Lamassu-Hydrolase_Protease	Lamassu	Lamassu	Abi
Lamassu_Family	Lamassu-Fam	Lamassu-Lipase	Lamassu	Lamassu	Abi
Lamassu_Family	Lamassu-Fam	Lamassu-Mrr	Lamassu	Lamassu	Abi
Lamassu_Family	Lamassu-Fam	Lamassu-Sir2	Lamassu	Lamassu	Abi
Lamassu_Family	Lamassu-Fam	Lamassu-Cap4_nuclease	Lamassu	Lamassu	Abi
Lamassu_Family	Lamassu-Fam	Lamassu-Hydrolase	Lamassu	Lamassu	Abi
Lamassu_Family	Lamassu-Fam	Lamassu-PDDEXK	Lamassu	Lamassu	Abi
Lamassu_Family	Lamassu-Fam	Lamassu-Protease	Lamassu	Lamassu	Abi
argonaute_solo	/	/	pAgo	pAgo	Abi
argonaute_type_III	/	/	pAgo	pAgo	Abi
argonaute_other	/	/	pAgo	pAgo	Abi
/	CasFinder	CAS_Class1-Subtype-I-A	CRISPR-Cas	CAS_Class1-I-A	Non-abi
cas_type_I-B1	CasFinder	CAS_Class1-Subtype-I-B	CRISPR-Cas	CAS_Class1-I-B	Non-abi
cas_type_I-C	CasFinder	CAS_Class1-Subtype-I-C	CRISPR-Cas	CAS_Class1-I-C	Non-abi
cas_type_II-C	CasFinder	CAS_Class2-Subtype-II-C	CRISPR-Cas	CAS_Class2-II-C	Non-abi
